test_month,train_until,train_rows,test_rows,catboost_wape,previous_wape,rolling3_wape,catboost_mae
2026-04-01,2026-03-01,72408,3017,32.77225811296778,39.17243791304692,38.96919325729256,32.922486926259914
2026-05-01,2026-04-01,75425,3017,32.73008872014104,37.062500881983546,39.40721297903467,38.43805563432805
2026-06-01,2026-05-01,78442,3017,35.6171217225497,44.66834509800046,41.65005118474357,47.781838572588434
2026-07-01,2026-06-01,81459,3017,29.915727819021832,32.379198675902,32.35702393718695,37.26357395284011
2026-08-01,2026-07-01,84476,3017,52.19254462795098,65.4271899197057,46.5452400445957,47.11912481918757
