supplier,sku,product_name,forecast,free_stock,incoming,available,safety_stock,moq,net_requirement,recommended_order,shortage_without_order,projected_stock_after_order,coverage_ratio,risk,urgency,trend,seasonality_index,stockout_signal,outlier_signal,order_required,reason
IEK,130300792_, Трубы гибкая двустенная красная (с протяжкой)   Ø50 IEK (50) ,2801.1979762295773,0.0,0.0,0.0,458.5290143491464,50.0,3259.726990578724,3300,2801.1979762295773,498.8020237704227,0.0,HIGH,CRITICAL,DECLINING,0.9674554608257436,False,True,True,Прогноз спроса: 2801 шт. Свободный остаток: 0 шт. В пути: 0 шт. Страховой запас: 459 шт. MOQ: 50 шт. В истории обнаружена аномальная продажа. Наблюдается снижение спроса.
IEK,280100340_,Кабель-канал 15х10 дуб ЭЛЕКОР IEK (144),0.9273919785265856,0.0,0.0,0.0,0.4636959892632928,144.0,1.3910879677898784,144,0.9273919785265856,143.07260802147343,0.0,HIGH,CRITICAL,STABLE,1.0508474576271185,True,False,True,Прогноз спроса: 1 шт. Свободный остаток: 0 шт. В пути: 0 шт. Страховой запас: 0 шт. MOQ: 144 шт. Есть сигнал предыдущего stockout.
IEK,280100376_,Кабель-канал 20х10 сосна ЭЛЕКОР IEK (96),0.24191370352685512,0.0,0.0,0.0,0.0,96.0,0.24191370352685512,96,0.24191370352685512,95.75808629647314,0.0,HIGH,CRITICAL,STABLE,0.25,False,True,True,Прогноз спроса: 0 шт. Свободный остаток: 0 шт. В пути: 0 шт. Страховой запас: 0 шт. MOQ: 96 шт. В истории обнаружена аномальная продажа.
IEK,270300105_,Кабель-канал перфорированный  40х60 ИМПАКТ IEK (24),59.09934957156166,0.0,0.0,0.0,6.178268365812538,24.0,65.2776179373742,72,59.09934957156166,12.90065042843834,0.0,HIGH,CRITICAL,STABLE,0.8608719800055541,True,False,True,Прогноз спроса: 59 шт. Свободный остаток: 0 шт. В пути: 0 шт. Страховой запас: 6 шт. MOQ: 24 шт. Есть сигнал предыдущего stockout.
IEK,280300085_, Лоток проволочный (60х200х3000) IEK (6),43.03944491091871,0.0,0.0,0.0,21.519722455459355,6.0,64.55916736637806,66,43.03944491091871,22.96055508908129,0.0,HIGH,CRITICAL,DECLINING,1.1504937010554988,False,False,True,Прогноз спроса: 43 шт. Свободный остаток: 0 шт. В пути: 0 шт. Страховой запас: 22 шт. MOQ: 6 шт. Наблюдается снижение спроса.
IEK,130200032_,Розетка на дин-рейку РАр10-3-ОП с заземлением IEK,42.48829794637434,0.0,0.0,0.0,21.24414897318717,5.0,63.73244691956151,65,42.48829794637434,22.511702053625662,0.0,HIGH,CRITICAL,STABLE,0.673750602603246,True,False,True,Прогноз спроса: 42 шт. Свободный остаток: 0 шт. В пути: 0 шт. Страховой запас: 21 шт. MOQ: 5 шт. Есть сигнал предыдущего stockout.
Systeme,300100006_,"S198 Рамка 2-ная   ""Wessen 59"" (60) !!!",0.06895522888548498,0.0,0.0,0.0,0.0,60.0,0.06895522888548498,60,0.06895522888548498,59.931044771114514,0.0,HIGH,CRITICAL,STABLE,0.25,True,False,True,Прогноз спроса: 0 шт. Свободный остаток: 0 шт. В пути: 0 шт. Страховой запас: 0 шт. MOQ: 60 шт. Есть сигнал предыдущего stockout.
IEK,280200054_,Поворот 90° КМП 25х16 Белый ЭЛЕКОР IEK (4),58.228331441075724,0.0,20.0,20.0,10.981302290712154,1.0,49.209633731787875,50,38.228331441075724,11.771668558924276,0.3434754097365651,HIGH,CRITICAL,STABLE,0.3165902459358066,False,False,True,Прогноз спроса: 58 шт. Свободный остаток: 0 шт. В пути: 20 шт. Страховой запас: 11 шт. MOQ: 1 шт.
IEK,130301736_,"Перемычка гребенчатая для CP 2,5мм2 3PIN IEK",0.11483905850293692,0.0,0.0,0.0,0.05741952925146846,50.0,0.1722585877544054,50,0.11483905850293692,49.88516094149706,0.0,HIGH,CRITICAL,STABLE,0.25,True,False,True,Прогноз спроса: 0 шт. Свободный остаток: 0 шт. В пути: 0 шт. Страховой запас: 0 шт. MOQ: 50 шт. Есть сигнал предыдущего stockout.
IEK,130301619_,Колодка клеммная CTS 25мм2 синяя IEK,0.7067046049602477,0.0,0.0,0.0,0.14288690166235227,50.0,0.8495915066226,50,0.7067046049602477,49.29329539503975,0.0,HIGH,CRITICAL,STABLE,4.0,False,True,True,Прогноз спроса: 1 шт. Свободный остаток: 0 шт. В пути: 0 шт. Страховой запас: 0 шт. MOQ: 50 шт. В истории обнаружена аномальная продажа.
